antigen,AG coordinate 2,AG coordinate 1,cluster
A/AUCKLAND/20/2003,-1.581990532,0.372824976,FU02
A/AUCKLAND/5/96,9.275256641,1.266534478,WU95
A/BANGKOK/1/97,7.388365165,1.272877878,WU95
A/BEIJING/32/92,9.633727131,-3.81619931,BE92
A/BRISBANE/10/2007,-7.781219905,-1.356569249,EI05
A/BRISBANE/22/94,6.786464811,-3.660441143,BE92
A/BRISBANE/22/96,6.103052904,0.31050875,WU95
A/BRISBANE/3/2005,-3.791698028,-2.26191612,CA04
A/BRISBANE/342/2003,-1.770554247,3.021809204,FU02
A/BRISBANE/5/2002,-2.332720937,2.524923235,SY97
A/CALIFORNIA/7/2004,-3.369724989,-2.466451105,CA04
A/CANBERRA/1/96,9.526421601,0.793456441,WU95
A/CANBERRA/9/97,-0.005994815,2.50462943,SY97
A/CHRISTCHURCH/1/96,4.505836827,1.326827086,WU95
A/CHRISTCHURCH/68/99,-1.355835829,3.319683689,SY97
A/FUJIAN/140/2000,-2.465477124,7.417144871,SY97
s,-1.414903761,1.42543506,#N/A
A/FUKUOKA/55/2002,-1.996584297,1.529585736,FU02
A/JOHANNESBURG/33/94,8.733793113,-4.074762144,#N/A
A/NANCHANG/933/95,6.875970091,0.262458199,#N/A
A/NEW_YORK/55/2004,-3.290494613,-2.560696329,CA04
A/NEWCALEDONIA/12/2004,-2.449273862,1.792062823,FU02
A/PANAMA/2007/99,-2.106330376,7.072236099,#N/A
A/PERTH/16/2009,-10.89509514,3.868276169,PE09
A/PERTH/27/2007,-8.637539356,-2.32312014,EI05
A/PERTH/5/97,6.00906046,0.538031399,WU95
A/PERTH/9/97,4.703253806,0.658980687,WU95
A/PHILIPPINES/427/2002_MDCK,-2.561727328,3.103636473,FU02
A/PHILIPPINES/472/2002_EGG,-1.10973183,1.656283691,FU02
A/SHANGDONG/9/93,8.659438064,-4.64375046,#N/A
A/SINGAPORE/37/2004,-2.726008688,-2.483844439,CA04
A/SOUTH_AUSTRALIA/53/2001,-0.453303903,2.766769954,SY97
A/SOUTH_AUSTRALIA/84/2002,0.426056996,2.849172865,SY97
A/SYDNEY/228/2000,-1.388584715,3.426994109,SY97
A/SYDNEY/5/97,-0.089754262,2.961264635,SY97
A/TASMANIA/1/97,6.773068071,3.892772055,WU95
A/TOWNSVILLE/2/99,-1.673780662,5.110339789,SY97
A/TOWNSVILLE/36/2003,-0.980685749,1.806547126,FU02
A/TOWNSVILLE/4/2002,-2.390683927,3.175051442,FU02
A/URUGUAY/716/2007,-4.67934776,-1.242029565,EI05
A/VICTORIA/1/93,11.73126515,-4.417510624,BE92
A/VICTORIA/110/2004,-1.667138361,1.006849458,FU02
A/VICTORIA/208/2009,-9.43978878,-0.487291659,PE09
A/VICTORIA/361/2011,-8.166908052,-0.245529622,PE09
A/VICTORIA/47/97,7.452760498,2.499030934,WU95
A/VICTORIA/500/2009,-9.428789496,-2.208739856,EI05
A/VICTORIA/507/98,0.053646684,3.454779799,SY97
A/VICTORIA/523/2004,-2.623963182,-2.288308478,CA04
A/VICTORIA/577/99,-1.462308332,6.709252126,SY97
A/VICTORIA/8/2010,-9.793173457,-1.095964072,PE09
A/VICTORIA/9/94,7.122629103,-3.602700829,BE92
A/WELLINGTON/1/2004,-2.696166903,-0.715439122,FU02
A/WELLINGTON/1/94,7.071344675,-3.736287577,BE92
A/WELLINGTON/25/93,6.990706279,-3.74267007,BE92
A/WELLINGTON/48/96,5.602256588,0.607537701,WU95
A/WELLINGTON/96/93,7.791207766,-5.924867061,BE92
A/WISCONSIN/67/2005,-4.219029541,-1.538597137,EI05
A/WUHAN/359/95,7.751449844,0.550095651,#N/A
A/WYOMING/3/2003,-1.771171129,-0.683136566,FU02
HN196_2009,-6.01065936,-0.663279315,#N/A
HN201_2009,-10.55730583,0.525969258,#N/A
HN206_2009,-9.822474268,3.345676697,#N/A
G145K_A/NETHERLANDS/178/95,7.998705165,-0.833743419,#N/A
Prototype_WT_A/NETHERLAND/179/93,6.639907245,-3.508446515,#N/A
Prototype_WT_A/NETHERLANDS/213/03,-1.890377979,-0.270372469,#N/A
Prototype_WT_A/NETHERLANDS/301/99,-0.560797969,3.603376715,#N/A
VN015_EL134_2008,-5.366441688,-0.790607368,EI05
VN016_EL135_2008,-5.928839584,-0.274591957,EI05
VN017_EL140_2008,-5.78327455,-0.679878647,EI05
VN018_EL204_2009,-9.290212665,2.157861896,PE09
VN019_EL442_2010,-9.23522796,1.995206372,PE09
VN020_EL443_2010,-10.23639431,0.837718803,PE09
VN021_EL444_2010,-8.991848537,1.691090099,PE09
VN053_2010,-9.706685846,0.53563698,PE09