,hetrz strains,antigneic_map strains
0,anti-human_IgA_500_ug/ml,BI/16190/68
1,anti-human_IgG_125_ug/ml,BI/21793/72
2,anti-human_IgG_250_ug/ml,BI/1761/76
3,anti-human_IgG_500_ug/ml,BI/2271/76
4,anti-human_IgA_125_ug/ml,NL/233/82
5,anti-human_IgA_250_ug/ml,NL/620/89
6,anti-human_sIgA3_125_ug/ml,NL/823/92
7,anti-human_sIgA3_250_ug/ml,NL/179/93
8,anti-human_sIgA3_500_ug/ml,A/WELLINGTON/1/94
9,anti-human_sIgA4_125_ug/ml,A/BRISBANE/22/94
10,anti-human_sIgA4_250_ug/ml,JO/33/94
11,anti-human_sIgA4_500_ug/ml,SD/9/93
12,rG_26_RSV_RSV_protein_G/00,A/WELLINGTON/25/93
13,rHA1_107_B_B/PHUKET/3073/2013,A/WELLINGTON/96/93
14,rHA1_17_H3N2_A/Victoria/361/2011,A/VICTORIA/9/94
15,rHA1_18_H3N2_A/Texas/50/2012,A/BRISBANE/22/96
16,rHA1_1_H1N1_A/USSR/90/1977,WU/359/95
17,rHA1_205_H7N9_A/Shenghai/2/2013,A/WELLINGTON/48/96
18,rHA1_23_H3N2_A/NewYork/55/2004,A/AUCKLAND/5/96
19,rHA1_2_B_B/Yamagata/16/1988,A/VICTORIA/47/97
20,rHA1_35_H5N1_A/chicken/Yamaguchi/7/2004,A/CANBERRA/1/96
21,rHA1_3_H3N2_A/Guizhou/54/1989,A/PERTH/5/97
22,rHA1_4_H1N1_A/Beijing/262/1995,A/PERTH/9/97
23,rHA1_93_H1N1_A/Michigan/45/2015,A/BANGKOK/1/97
24,rHA1_96_H3N2_A/California/7/2004,A/CHRISTCHURCH/1/96
25,rHA1_97_H3N2_A/HongKong/4801/2014,A/TASMANIA/1/97
26,rHA2_116_H3N2_A/HongKong/4801/2014,NA/933/95
27,rHA2_117_H5N1_A/Vietnam/1203/2004,NL/301/99
28,rHA_101_H1N1_A/Wisconsin/588/2019,A/CANBERRA/9/97
29,rHA_103_H3N2_A/Cambodia/e0826360/2020,A/SYDNEY/5/97
30,rHA_105_B_B/Washington/02/2019,PM/2007/99
31,rHA_108_H3N2_A/HongKong/2671/2019,A/SOUTH_AUSTRALIA/84/2002
32,rHA_10_B_B/Florida/4/2006,A/FUJIAN/140/2000
33,rHA_110_H1N1_(A/Guangdong-Maonan/SWL1536/2019)/(A/Hawaii/70/2019),A/SOUTH_AUSTRALIA/53/2001
34,rHA_111_H1N1_A/Brisbane/02/2018,A/VICTORIA/507/98
35,rHA_112_B_B/Austria/1359417/2021,A/SYDNEY/228/2000
36,rHA_114_H3N2_A/Darwin/6/2021,A/TOWNSVILLE/2/99
37,rHA_11_H1N1_A/Brisbane/59/2007,A/CHRISTCHURCH/68/99
38,rHA_12_H3N2_A/Brisbane/10/2007,A/VICTORIA/577/99
39,rHA_13_B_B/Brisbane/60/2008,NL/213/03
40,rHA_14_H3N2_A/Perth/16/2009,A/PHILIPPINES/427/2002_MDCK
41,rHA_15_H1N1_A/California/07/2009,A/WYOMING/3/2003
42,rHA_16_H3N2_A/Victoria/210/2009,A/AUCKLAND/20/2003
43,rHA_19_H3N2_A/Switzerland/9715293/2013,FU/411/02
44,rHA_201_H1N1_A/PuertoRico/8/1934,A/PHILIPPINES/472/2002_EGG
45,rHA_202_H5N1_A/Hong_Kong/483/1997,A/TOWNSVILLE/36/2003
46,rHA_203_H7N9_A/Shenghai/2/2013,A/VICTORIA/110/2004
47,rHA_207_H1N1_A/Brisbane/02/2018,A/BRISBANE/342/2003
48,rHA_209_H3N2_A/Kansas/14/2017,A/TOWNSVILLE/4/2002
49,rHA_20_B_B/Phuket/3073/2013,A/NEWCALEDONIA/12/2004
50,rHA_211_B_B/Colorado/06/2017,A/FUKUOKA/55/2002
51,rHA_213_H3N2_A/Singapore/INFIMH-16-0019/2016,A/CALIFORNIA/7/2004
52,rHA_214_H1N1_A/California/07/2009,A/SINGAPORE/37/2004
53,rHA_21_H1N1_A/WSN/1933,A/VICTORIA/523/2004
54,rHA_22_H1N1_A/PuertoRico/8/1934,A/BRISBANE/3/2005
55,rHA_24_H3N2_A/Sydney/5/1997,A/NEW_YORK/55/2004
56,rHA_27_H7N9_A/Shanghai/1/2013,A/BRISBANE/10/2007
57,rHA_33_H2N2_A/Japan/305/1957,A/WISCONSIN/67/2005
58,rHA_36_H5N1_A/Anhui/1/2005,A/VICTORIA/500/2009
59,rHA_37_H5N1_A/Hong_Kong/483/1997,A/PERTH/27/2007
60,rHA_38_H5N1_A/Indonesia/5/2005,A/URUGUAY/716/2007
61,rHA_46_H7N9_A/Anhui/1/2013,A/VICTORIA/208/2009
62,rHA_5_H1N1_A/NewCaledonia/20/1999,A/VICTORIA/8/2010
63,rHA_63_H1N1_A/SouthCarolina/1/1918,A/PERTH/16/2009
64,rHA_7_B_B/Malaysia/2506/2004,A/VICTORIA/361/2011
65,rHA_81_H5N1_A/Bar-headedgoose/Qingi/14/2008,A/BRISBANE/5/2002
66,rHA_8_H3N2_A/Wisconsin/67/2005,A/WELLINGTON/1/2004
67,rHA_90_H3N2_A/Fujian/411/2002,A/BEIJING/32/92
68,rHA_92_H1N1_A/Michigan/45/2015,A/VICTORIA/1/93
69,rHA_94_H3N2_A/Aichi/2/1968,PROTOTYPE_RG145K_A/NETHERLANDS/178/95
70,rHA_95_H3N2_A/California/7/2004,VN015/EL134/2008
71,rHA_9_H1N1_A/SolomonIslands/3/2006,VN016/EL135/2008
72,rHA_BEI_10_B_B/Florida/4/2006,VN017/EL140/2008
73,rHA_BEI_9_H5N1_A/duck/Hunan/795/2002,HN196/2009
74,rM1_57_H1N1_A/PuertoRico/8/1934,HN201/2009
75,rNA_102_H1N1_A/Wisconsin/588/2019,VN018/EL204/2009
76,rNA_104_H3N2_A/Cambodia/e0826360/2020,HN206/2009
77,rNA_106_B_B/Washington/02/2019,VN019/EL442/2010
78,rNA_113_B_B/Austria/1359417/2021,VN020/EL443/2010
79,rNA_115_H3N2_A/Darwin/6/2021,VN021/EL444/2010
80,rNA_206_H5N1_A/Thailand/1(KAN-1)/2004,VN053/2010
81,rNA_208_H1N1_A/Brisbane/02/2018,
82,rNA_210_H3N2_A/Kansas/14/2017,
83,rNA_212_B_B/Colorado/06/2017,
84,rNA_215_H1N1_A/California/07/2009,
85,rNA_216_H3N2_A/Aichi/2/1968,
86,rNA_218_H3N2_A/Wisconsin/67/2005,
87,rNA_70_H5N1_A/Hubei/1/2010,
88,rNA_71_H5N1_A/Thailand/1(KAN-1)/2004,
89,rNA_72_H3N2_A/Babol/36/2005,
90,rNA_73_H3N2_A/Hong_Kong/4801/2014,
91,rNA_74_H1N1_A/Michigan/45/2015,
92,rNA_75_B_B/Phuket/3073/2013,
93,rNA_76_H7N9_A/Shanghai/1/2013,
94,rNA_77_H7N9_A/Anhui/1/2013,
95,rNA_78_H1N1_A/USSR/90/1977,
96,rNA_91_H1N1_A/California/04/2009,
97,rNA_99_H5N1_A/Anhui/1/2005,
98,rNA_BEI_14_B_B/Hong_Kong/330/2001,
99,rNA_BEI_15_H3N2_A/Wisconsin/67/2005,
100,rNA_BEI_2_H7N9_A/Anhui/1/2013,
101,rNA_BEI_5_B_B/Florida/4/2006,
102,rNA_BEI_7_H1N1_A/Puerto_Rico/8/1934,
103,rNP_56_H1N1_A/PuertoRico/8/1934,
104,rNS1_55_H1N1_A/PuertoRico/8/1934,
105,rNS2_54_H1N1_A/PuertoRico/8/1934,
106,Comments,
107,array_num,
108,date,
109,group,
110,slide,
111,Name,
112,SUBJ_ID,
113,VISIT,
114,orig_ptid,
115,B_HA_magnitude,
116,B_HA_gmean_magnitude,
117,rHA1_107_B_B/PHUKET/3073/2013_binarized,
118,rHA1_2_B_B/Yamagata/16/1988_binarized,
119,rHA_105_B_B/Washington/02/2019_binarized,
120,rHA_10_B_B/Florida/4/2006_binarized,
121,rHA_112_B_B/Austria/1359417/2021_binarized,
122,rHA_13_B_B/Brisbane/60/2008_binarized,
123,rHA_20_B_B/Phuket/3073/2013_binarized,
124,rHA_211_B_B/Colorado/06/2017_binarized,
125,rHA_7_B_B/Malaysia/2506/2004_binarized,
126,rHA_BEI_10_B_B/Florida/4/2006_binarized,
127,B_HA_breadth,
128,H3N2_HA_magnitude,
129,H3N2_HA_gmean_magnitude,
130,rHA1_17_H3N2_A/Victoria/361/2011_binarized,
131,rHA1_18_H3N2_A/Texas/50/2012_binarized,
132,rHA1_23_H3N2_A/NewYork/55/2004_binarized,
133,rHA1_3_H3N2_A/Guizhou/54/1989_binarized,
134,rHA1_96_H3N2_A/California/7/2004_binarized,
135,rHA1_97_H3N2_A/HongKong/4801/2014_binarized,
136,rHA2_116_H3N2_A/HongKong/4801/2014_binarized,
137,rHA_103_H3N2_A/Cambodia/e0826360/2020_binarized,
138,rHA_108_H3N2_A/HongKong/2671/2019_binarized,
139,rHA_114_H3N2_A/Darwin/6/2021_binarized,
140,rHA_12_H3N2_A/Brisbane/10/2007_binarized,
141,rHA_14_H3N2_A/Perth/16/2009_binarized,
142,rHA_16_H3N2_A/Victoria/210/2009_binarized,
143,rHA_19_H3N2_A/Switzerland/9715293/2013_binarized,
144,rHA_209_H3N2_A/Kansas/14/2017_binarized,
145,rHA_213_H3N2_A/Singapore/INFIMH-16-0019/2016_binarized,
146,rHA_24_H3N2_A/Sydney/5/1997_binarized,
147,rHA_8_H3N2_A/Wisconsin/67/2005_binarized,
148,rHA_90_H3N2_A/Fujian/411/2002_binarized,
149,rHA_94_H3N2_A/Aichi/2/1968_binarized,
150,rHA_95_H3N2_A/California/7/2004_binarized,
151,H3N2_HA_breadth,
152,H1N1_HA_magnitude,
153,H1N1_HA_gmean_magnitude,
154,rHA1_1_H1N1_A/USSR/90/1977_binarized,
155,rHA1_4_H1N1_A/Beijing/262/1995_binarized,
156,rHA1_93_H1N1_A/Michigan/45/2015_binarized,
157,rHA_101_H1N1_A/Wisconsin/588/2019_binarized,
158,rHA_110_H1N1_(A/Guangdong-Maonan/SWL1536/2019)/(A/Hawaii/70/2019)_binarized,
159,rHA_111_H1N1_A/Brisbane/02/2018_binarized,
160,rHA_11_H1N1_A/Brisbane/59/2007_binarized,
161,rHA_15_H1N1_A/California/07/2009_binarized,
162,rHA_201_H1N1_A/PuertoRico/8/1934_binarized,
163,rHA_207_H1N1_A/Brisbane/02/2018_binarized,
164,rHA_214_H1N1_A/California/07/2009_binarized,
165,rHA_21_H1N1_A/WSN/1933_binarized,
166,rHA_22_H1N1_A/PuertoRico/8/1934_binarized,
167,rHA_5_H1N1_A/NewCaledonia/20/1999_binarized,
168,rHA_63_H1N1_A/SouthCarolina/1/1918_binarized,
169,rHA_92_H1N1_A/Michigan/45/2015_binarized,
170,rHA_9_H1N1_A/SolomonIslands/3/2006_binarized,
171,H1N1_HA_breadth,
172,H7N9_HA_magnitude,
173,H7N9_HA_gmean_magnitude,
174,rHA1_205_H7N9_A/Shenghai/2/2013_binarized,
175,rHA_203_H7N9_A/Shenghai/2/2013_binarized,
176,rHA_27_H7N9_A/Shanghai/1/2013_binarized,
177,rHA_46_H7N9_A/Anhui/1/2013_binarized,
178,H7N9_HA_breadth,
179,H5N1_HA_magnitude,
180,H5N1_HA_gmean_magnitude,
181,rHA1_35_H5N1_A/chicken/Yamaguchi/7/2004_binarized,
182,rHA2_117_H5N1_A/Vietnam/1203/2004_binarized,
183,rHA_202_H5N1_A/Hong_Kong/483/1997_binarized,
184,rHA_36_H5N1_A/Anhui/1/2005_binarized,
185,rHA_37_H5N1_A/Hong_Kong/483/1997_binarized,
186,rHA_38_H5N1_A/Indonesia/5/2005_binarized,
187,rHA_81_H5N1_A/Bar-headedgoose/Qingi/14/2008_binarized,
188,rHA_BEI_9_H5N1_A/duck/Hunan/795/2002_binarized,
189,H5N1_HA_breadth,
190,H2N2_HA_magnitude,
191,H2N2_HA_gmean_magnitude,
192,rHA_33_H2N2_A/Japan/305/1957_binarized,
193,H2N2_HA_breadth,
194,B_NA_magnitude,
195,B_NA_gmean_magnitude,
196,rNA_102_H1N1_A/Wisconsin/588/2019_binarized,
197,rNA_208_H1N1_A/Brisbane/02/2018_binarized,
198,rNA_215_H1N1_A/California/07/2009_binarized,
199,rNA_74_H1N1_A/Michigan/45/2015_binarized,
200,rNA_78_H1N1_A/USSR/90/1977_binarized,
201,rNA_91_H1N1_A/California/04/2009_binarized,
202,rNA_BEI_7_H1N1_A/Puerto_Rico/8/1934_binarized,
203,B_NA_breadth,
204,H3N2_NA_magnitude,
205,H3N2_NA_gmean_magnitude,
206,rNA_104_H3N2_A/Cambodia/e0826360/2020_binarized,
207,rNA_115_H3N2_A/Darwin/6/2021_binarized,
208,rNA_210_H3N2_A/Kansas/14/2017_binarized,
209,rNA_216_H3N2_A/Aichi/2/1968_binarized,
210,rNA_218_H3N2_A/Wisconsin/67/2005_binarized,
211,rNA_72_H3N2_A/Babol/36/2005_binarized,
212,rNA_73_H3N2_A/Hong_Kong/4801/2014_binarized,
213,rNA_BEI_15_H3N2_A/Wisconsin/67/2005_binarized,
214,H3N2_NA_breadth,
215,H1N1_NA_magnitude,
216,H1N1_NA_gmean_magnitude,
217,rNA_106_B_B/Washington/02/2019_binarized,
218,rNA_113_B_B/Austria/1359417/2021_binarized,
219,rNA_212_B_B/Colorado/06/2017_binarized,
220,rNA_75_B_B/Phuket/3073/2013_binarized,
221,rNA_BEI_14_B_B/Hong_Kong/330/2001_binarized,
222,rNA_BEI_5_B_B/Florida/4/2006_binarized,
223,H1N1_NA_breadth,
224,H7N9_NA_magnitude,
225,H7N9_NA_gmean_magnitude,
226,rNA_206_H5N1_A/Thailand/1(KAN-1)/2004_binarized,
227,rNA_70_H5N1_A/Hubei/1/2010_binarized,
228,rNA_71_H5N1_A/Thailand/1(KAN-1)/2004_binarized,
229,rNA_99_H5N1_A/Anhui/1/2005_binarized,
230,H7N9_NA_breadth,
231,H5N1_NA_magnitude,
232,H5N1_NA_gmean_magnitude,
233,rNA_76_H7N9_A/Shanghai/1/2013_binarized,
234,rNA_77_H7N9_A/Anhui/1/2013_binarized,
235,rNA_BEI_2_H7N9_A/Anhui/1/2013_binarized,
236,H5N1_NA_breadth,